Subject,Movement,Segment1,Segment2,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P1,1,Head,T8,2.5419440360965755,[ 339.4369396  1503.28287799 2039.14074289],0.07802912264322097,0.2793369339045966
P1,1,RightUpperArm,T8,2.0514504563302083,[ 234.04041131  382.70185149 2018.33934644],0.526767377616453,0.725787419026021
P1,1,RightUpperArm,RightForeArm,2.0703186370833446,[ 709.36684215 1936.21442629  291.20869133],0.26219995538511354,0.5120546410151103
P1,1,LeftUpperArm,T8,3.163281347429432,[2809.45863451  759.21517258 1338.9566712 ],0.1233217544393428,0.3511719727417648
P1,1,LeftUpperArm,LeftForeArm,1.5842346982344022,[ 894.43543945 1204.28894672  302.64124953],0.49368042956807767,0.7026239602860678
P1,1,RightForeArm,RightHand,3.2636605210001193,[2143.51070312 1859.58566112 1758.8967794 ],0.04736987599222493,0.2176462175003851
P1,1,LeftForeArm,LeftHand,4.7196091612510545,[2710.74014843 2953.51102871 2742.29686518],0.1411311977388077,0.3756743240345389
P1,1,T8,Pelvis,1.1128120505608416,[805.55417767 454.48976548 547.31681147],0.11116321651991383,0.33341148228564926
P1,1,Pelvis,RightUpperLeg,1.22289609913401,[456.0381876  915.86541825 700.02592404],0.126016891996162,0.3549885800926024
P1,1,Pelvis,LeftUpperLeg,3.8227774820886813,[ 483.76029928 1834.16517759 3422.54344762],0.46654091070676096,0.683038000924371
P1,1,RightUpperLeg,RightLowerLeg,0.8972109050268615,[563.42372812 226.60995779 666.08223223],0.053686758448480025,0.23170403200738657
P1,1,LeftUpperLeg,LeftLowerLeg,1.6747197085961596,[ 367.79952541 1446.21634689  731.51940259],0.27246930562864524,0.5219859247418892
P1,1,RightLowerLeg,RightFoot,1.0449628054835887,[561.21050945 160.22511807 861.61247264],0.09139583166382009,0.30231743526270544
P1,1,LeftLowerLeg,LeftFoot,2.5497828698489875,[1405.43506759  376.23227902 2132.83100698],0.22825550186657173,0.4777609254287878
P1,2,Head,T8,22.869968728194955,[24492.33729788 17684.06049242 38827.45381647],334.4024395649151,18.286673824534496
P1,2,RightUpperArm,T8,29.286952240035514,[38669.56121377 20483.05601632 42834.78057166],301.362353503379,17.35979128628507
P1,2,RightUpperArm,RightForeArm,13.967697661612794,[ 6666.16467063 12813.5579152  27717.35059292],45.73203000122146,6.762546118232501
P1,2,LeftUpperArm,T8,33.51191187681381,[46050.42146858 17403.34609028 55648.27733756],409.30163416003563,20.231204466369164
P1,2,LeftUpperArm,LeftForeArm,17.875477561467967,[10442.55434984 34720.650052   13982.63779644],49.71731875907594,7.051050897495772
P1,2,RightForeArm,RightHand,8.747621840474592,[ 9751.4425294   5560.74036059 14386.00322207],11.41935918763683,3.3792542354248565
P1,2,LeftForeArm,LeftHand,15.990332679502458,[23201.74333361 23532.91245949  9612.81385239],4.776111297543987,2.185431604407694
P1,2,T8,Pelvis,20.572776554311712,[17934.39238161  7335.65391661 40735.74502986],387.04215482946825,19.673386968935173
P1,2,Pelvis,RightUpperLeg,7.583182071698534,[ 1063.97837375  1256.14410422 17406.71919769],1.665246337103022,1.2904442402145944
P1,2,Pelvis,LeftUpperLeg,5.522300580341559,[ 4763.6915457   2714.7617357  10444.42599193],1.73815727286674,1.3183919268816615
P1,2,RightUpperLeg,RightLowerLeg,8.979273041407275,[ 2120.19528192  1625.4055237  20438.63038978],6.290208468835149,2.508028801436528
P1,2,LeftUpperLeg,LeftLowerLeg,11.512614215313365,[ 7990.0296124   1137.46748629 24736.66951961],4.184713501592354,2.045657229741179
P1,2,RightLowerLeg,RightFoot,9.59542334839734,[ 4719.36791739  1646.57243652 21113.25602161],4.822428485189542,2.1960028427098046
P1,2,LeftLowerLeg,LeftFoot,6.9105109113071315,[ 6376.68138357  4822.51330215 12975.75583526],5.172829920322248,2.274385613813596
P1,3,Head,T8,15.961752032961408,[22791.81076219  5069.89014336 26686.65054688],244.16734712201873,15.625855084507174
P1,3,RightUpperArm,T8,24.09252482394936,[36628.27364531  4210.02268226 39642.58396654],233.7183590714594,15.287850047389247
P1,3,RightUpperArm,RightForeArm,12.778320892539238,[17004.56830569 13516.44573694 13789.28704057],24.9150682787317,4.991499602196889
P1,3,LeftUpperArm,T8,27.03225997521588,[39607.95493756  8778.06668996 45775.92392823],422.5307324103621,20.55555234992147
P1,3,LeftUpperArm,LeftForeArm,15.226228375495074,[15804.46292491 26938.49399244  8456.43628057],54.98313096836382,7.415061089995403
P1,3,RightForeArm,RightHand,8.16785147731901,[14041.23420962  6856.49745343  9539.28149749],2.258225052472253,1.5027391831160366
P1,3,LeftForeArm,LeftHand,11.418495484674052,[14774.1741876  17352.78820888  8577.73873091],19.643421508486636,4.4320899707120835
P1,3,T8,Pelvis,17.033150266512013,[ 8430.5395619   8326.39045587 36690.27055581],323.9586773197795,17.998852111170297
P1,3,Pelvis,RightUpperLeg,5.254133655500526,[ 3058.65438923  1501.10358133 11447.69203909],1.6547983986075043,1.2863896760342506
P1,3,Pelvis,LeftUpperLeg,7.85806725774393,[ 6422.48491954  2907.62714799 15223.74292325],0.5390025040496527,0.7341678990868864
P1,3,RightUpperLeg,RightLowerLeg,11.787092818204385,[ 2638.1762582   2764.15303804 26978.90318425],3.5928385754696373,1.8954784555540687
P1,3,LeftUpperLeg,LeftLowerLeg,14.020981612698517,[13579.00264083  2708.50922063 28944.23448252],45.06592694646015,6.713116038507017
P1,3,RightLowerLeg,RightFoot,6.814410693557586,[ 5090.27681262  1757.33846262 14045.73030299],5.094797222600932,2.257165749917567
P1,3,LeftLowerLeg,LeftFoot,9.935666514680447,[13179.93216454  8165.73289357 12949.20377889],20.106553023423963,4.484033120241638
P1,4,Head,T8,11.016558786718761,[8304.8099888  2416.72930259 9338.89012499],6.0831392408579354,2.466402084182126
P1,4,RightUpperArm,T8,16.669305055946605,[ 6226.00618106  2302.34217936 18207.71478405],10.901326715118987,3.301715722941481
P1,4,RightUpperArm,RightForeArm,12.812303212113731,[ 4255.88588277 13462.93953017  3504.84613083],5.180817767288677,2.2761409814176004
P1,4,LeftUpperArm,T8,13.622559642676702,[ 5721.16256841  5687.34175557 13753.42954066],9.230385646147969,3.038154974017614
P1,4,LeftUpperArm,LeftForeArm,4.450771661710806,[1877.8871453  2911.77932284 3482.77179616],3.023662450845186,1.738868152231556
P1,4,RightForeArm,RightHand,12.076175289385398,[12138.84233255  4990.98978929  4644.21718159],15.318115120855536,3.9138363686868076
P1,4,LeftForeArm,LeftHand,6.933094840440606,[1724.02722581 7283.39360643 2893.88256895],1.0552028034626906,1.027230647645742
P1,4,T8,Pelvis,18.91278556019368,[ 3206.52750151  8183.92488086 20220.66258392],7.977622293117307,2.8244684974552836
P1,4,Pelvis,RightUpperLeg,13.48807761339056,[ 3304.04648754  6314.3784548  12829.9348111 ],26.090524046742658,5.107888413693339
P1,4,Pelvis,LeftUpperLeg,9.020998995796353,[4824.09254737 4342.96855142 7278.91528534],17.09306990677622,4.1343766043717185
P1,4,RightUpperLeg,RightLowerLeg,15.800478880969727,[ 3737.06757982  9619.73245426 13238.21156544],59.69090923693239,7.725989207663469
P1,4,LeftUpperLeg,LeftLowerLeg,18.122549040964405,[ 5194.21033416  6497.54381356 18509.0661538 ],67.69716627954465,8.22782877067484
P1,4,RightLowerLeg,RightFoot,13.114610003891864,[4900.08046311 8300.32609851 9912.47992186],72.24103843338969,8.499472832675547
P1,4,LeftLowerLeg,LeftFoot,12.068982935541689,[ 5172.12007792  4392.81120755 10635.46315715],60.46080409716919,7.775654576765174
P1,5,Head,T8,18.164670696185507,[28173.59226111 43863.87680465 33935.20271492],231.02025602818347,15.199350513366795
P1,5,RightUpperArm,T8,25.90021273050165,[32424.03621763 37589.34242441 70674.40101014],84.187368636415,9.175367493262327
P1,5,RightUpperArm,RightForeArm,12.644746260539142,[13546.19134928 37181.25838757  9750.71478937],24.57428613541652,4.957245821564281
P1,5,LeftUpperArm,T8,21.576258981199565,[40944.56329755 43262.79161085 41626.99366394],103.03744108899552,10.150735987552602
P1,5,LeftUpperArm,LeftForeArm,5.242782284913315,[ 2694.90332294 14950.9661344   5278.31373049],8.323632878564627,2.8850706886599204
P1,5,RightForeArm,RightHand,5.924858374959996,[ 7189.81686984 16854.73023366  8129.48548569],1.9385416025593483,1.392315195119032
P1,5,LeftForeArm,LeftHand,17.75517167735556,[ 7171.47411389 57505.42349885 14888.27814604],0.11278817394907296,0.3358395062363464
P1,5,T8,Pelvis,18.81896357874618,[23844.35167111 38338.25496657 43330.17883422],89.62804885005245,9.467209137335693
P1,5,Pelvis,RightUpperLeg,2.9801043421528544,[2492.05438112 8348.3166452  3317.68979158],4.323332256289127,2.0792624308367444
P1,5,Pelvis,LeftUpperLeg,16.66005979944229,[ 5041.77428536  8490.42743442 54516.02972481],0.8794476275762425,0.9377886902582279
P1,5,RightUpperLeg,RightLowerLeg,11.567952861093197,[ 9110.73561183  8126.40249165 36725.67016069],1.6363086966830833,1.279182823791456
P1,5,LeftUpperLeg,LeftLowerLeg,19.681450949175126,[ 8006.71275286  7177.77172662 65299.61714926],1.3663812810953853,1.1689231288221589
P1,5,RightLowerLeg,RightFoot,11.244708583871548,[ 2592.94601564  9805.79437307 36417.35879178],0.4443124060639796,0.6665676305252001
P1,5,LeftLowerLeg,LeftFoot,24.031755749069127,[ 5429.53552262  6869.92514222 80413.14697873],2.474429763787865,1.573032028849974
P1,6,Head,T8,12.40055061602868,[11824.372995   12338.313713   17198.76806552],9.44890967549675,3.0739078833785425
P1,6,RightUpperArm,T8,40.69325501338401,[10822.87495379 12680.92959279 82064.81758603],14.54432453833232,3.8137022089214465
P1,6,RightUpperArm,RightForeArm,32.54862352593663,[22057.04439187 63112.5038906   3026.85468389],10.195363924295183,3.1930179962372875
P1,6,LeftUpperArm,T8,11.233323804541177,[13746.68033811  9930.32250166 14249.03922677],11.228545343759945,3.350902168634582
P1,6,LeftUpperArm,LeftForeArm,2.510196489882259,[2707.5145501  3933.81626444 1352.33101183],0.9665890823466182,0.9831526241365672
P1,6,RightForeArm,RightHand,7.95063084867253,[12706.83334753  3315.98344296  7723.92466528],4.584795410060414,2.141213536773111
P1,6,LeftForeArm,LeftHand,23.723465496986126,[ 4430.22393332 47527.85577271 13034.30093586],0.3550118436970808,0.5958287033175566
P1,6,T8,Pelvis,14.147323087645063,[11848.72948848  8594.68616549 23415.41062175],10.311864826875153,3.2112092468220057
P1,6,Pelvis,RightUpperLeg,5.2715154701463165,[2515.72682658 4326.09867171 9205.18468202],7.469238914121792,2.732990836816288
P1,6,Pelvis,LeftUpperLeg,7.212773446720115,[ 4054.25293916  2037.36687509 13144.92567588],13.395903409597542,3.6600414491638675
P1,6,RightUpperLeg,RightLowerLeg,12.198341263891464,[ 2943.64870592  5468.47003241 24404.26275012],0.9903496633570145,0.9951631340423611
P1,6,LeftUpperLeg,LeftLowerLeg,15.462190980322415,[ 4057.41978173  2117.19428872 31743.91628222],4.794629737955854,2.1896642980045717
P1,6,RightLowerLeg,RightFoot,7.711796849425931,[ 1226.36959559  8628.05150021 12110.6606391 ],5.272425990657902,2.296176384918611
P1,6,LeftLowerLeg,LeftFoot,8.804243018095072,[ 2236.55403349  1552.12026593 17895.15584288],23.12145890430125,4.808477815723106
P1,7,Head,T8,12.301969755452673,[10878.02245951 21027.98545694 11923.99608369],27.525455070268322,5.246470725189298
P1,7,RightUpperArm,T8,29.67017946894858,[17413.97130777 20885.93846574 62655.218501  ],40.21313321515447,6.341382594920012
P1,7,RightUpperArm,RightForeArm,25.921524078929906,[24017.21088076 54401.03310934 11373.06808741],26.991942728549525,5.1953770535495805
P1,7,LeftUpperArm,T8,12.014246706938295,[16074.03856384 21092.03107227  5981.39364705],33.115832059676094,5.754635701734394
P1,7,LeftUpperArm,LeftForeArm,9.338420220012196,[16091.74977122 10634.30473479  3132.49522539],20.033235046099076,4.475850203715387
P1,7,RightForeArm,RightHand,7.419949314916359,[12134.21989997  4371.86811429 10265.59471124],3.7140945817070325,1.9271986357682573
P1,7,LeftForeArm,LeftHand,28.63024361528119,[14416.50430986 62889.05221086 22730.97720512],2.8425064154235278,1.685973432597183
P1,7,T8,Pelvis,13.880975235624426,[ 3020.38313431 22016.60372266 21485.96363947],21.791478761664838,4.668134398414942
P1,7,Pelvis,RightUpperLeg,9.527000729871531,[ 4957.56416987  7872.95611393 18870.34533294],6.324164795036434,2.514789214832216
P1,7,Pelvis,LeftUpperLeg,5.335612882522065,[7076.42358055 5535.59441069 7119.55418089],3.3947105779044207,1.8424740372402593
P1,7,RightUpperLeg,RightLowerLeg,17.135129458104245,[14111.15498357  5925.82511729 37064.18532088],54.36906441534288,7.373538120559416
P1,7,LeftUpperLeg,LeftLowerLeg,26.710037808326586,[ 7796.16980116  9937.41034653 61925.09599723],11.800595590129854,3.435199497864695
P1,7,RightLowerLeg,RightFoot,12.72057101501689,[12549.6443976   2908.30305852 26064.05533485],40.97416480031012,6.4011065293674125
P1,7,LeftLowerLeg,LeftFoot,13.80918455167934,[ 6742.19514345  7902.82839684 31153.09084303],34.50891337529221,5.874428770126693
P1,8,Head,T8,43.230041794522386,[41665.5377756  70586.2654263  20392.14800008],218.6780647566645,14.787767402710408
P1,8,RightUpperArm,T8,24.202750232681662,[31811.71985149 18132.26063189 18899.39989383],86.90563886623367,9.322319393060596
P1,8,RightUpperArm,RightForeArm,18.071319973023442,[18072.42561332 16765.90282989 17900.28529571],17.181296865345562,4.145032794242473
P1,8,LeftUpperArm,T8,24.922071336135968,[23748.89896357 23338.90376001 35439.08326532],302.7608256317093,17.40002372503294
P1,8,LeftUpperArm,LeftForeArm,9.356502447720459,[10069.9499124  13023.21382354  2300.59123122],9.836932152691775,3.1363883931509142
P1,8,RightForeArm,RightHand,8.514562161991108,[10053.39377187  6270.60115456  7253.13742084],8.278205757698213,2.8771871259440553
P1,8,LeftForeArm,LeftHand,22.43726684690418,[ 6628.59399239 38178.74697297 12724.79814294],5.088643610003333,2.2558022098586865
P1,8,T8,Pelvis,14.32441274683939,[ 7597.18594444 16180.40096193 17526.7856998 ],24.080953393525412,4.907234801140599
P1,8,Pelvis,RightUpperLeg,29.25012525587,[15818.74031109 33072.52366249 41972.25797666],366.7275811394759,19.150132666367508
P1,8,Pelvis,LeftUpperLeg,27.375395307051587,[10615.45899331 34387.3587817  36313.23841358],411.45186228992753,20.284276232834326
P1,8,RightUpperLeg,RightLowerLeg,31.33234580733153,[20858.22161135 30839.64336737 35082.97083393],527.4038387563091,22.965274628366828
P1,8,LeftUpperLeg,LeftLowerLeg,40.0645208756235,[35934.25183843 25742.54733518 46253.39867242],92.32082867386328,9.60837284215508
P1,8,RightLowerLeg,RightFoot,24.697662870662036,[11457.74078529 18520.00312546 37273.42039062],178.28363926787588,13.352289663869485
P1,8,LeftLowerLeg,LeftFoot,25.26237024580116,[12964.63174362 19564.57706323 36176.88812181],88.13407797131939,9.387975179521908
P1,9,Head,T8,24.302992225351662,[27168.09039146 44630.94216481 31940.48131427],12.691141857644716,3.5624628921077504
P1,9,RightUpperArm,T8,12.659645851192863,[19201.50138429 12991.49539068 19632.55947085],26.19953355765412,5.11854799309864
P1,9,RightUpperArm,RightForeArm,10.71700464536335,[11936.02088157 22059.97069254  8514.21695224],16.254596166778374,4.031698918170648
P1,9,LeftUpperArm,T8,18.342293469706455,[43349.20985735 13104.47623844 12954.16652379],86.03388522065733,9.275445284225299
P1,9,LeftUpperArm,LeftForeArm,9.21931314611176,[15512.92823923 14578.23724821  8438.35812393],16.40603330043452,4.05043618644147
P1,9,RightForeArm,RightHand,10.23018639909253,[22832.7494414  11374.2916448   6628.50175377],34.136733522051635,5.842664933234802
