Subject,Movement,Segment,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P1,1,Pelvis,3.590497021118884,[0.82756832 0.74806947 3.39917891],0.10456255646658952,0.32336134040201764
P1,1,T8,3.739189595526628,[1.24696348 0.3530558  3.48855263],0.08156840499789181,0.2856018294722424
P1,1,Head,2.121134617070599,[0.61120811 1.14317863 1.65436819],0.16267501624539443,0.4033299099315527
P1,1,RightShoulder,3.5227277930918297,[1.20845128 0.21730968 3.29734546],0.03681491213538605,0.1918721244354845
P1,1,RightUpperArm,1.9193981370633455,[1.12909795 1.49617702 0.12027808],0.1256216648640142,0.35443146709062695
P1,1,RightForeArm,358.092421104457,[1.82873277 0.45888477 0.17875051],0.0021594823207612625,0.046470230478891136
P1,1,RightHand,4.792405214616482,[3.92663332 2.21502702 1.70237949],0.005481011884781931,0.07403385634141944
P1,1,LeftShoulder,357.5717996984437,[1.22841889 0.28564218 2.06312452],0.07234667894369362,0.26897337961905005
P1,1,LeftUpperArm,5.031577050276137,[1.33147885 4.82725151 0.51426268],0.21302189408432334,0.46154294933876233
P1,1,LeftForeArm,356.3217567850747,[0.49987529 3.63794611 0.19715826],0.23425391889260905,0.4839978500908956
P1,1,LeftHand,7.803090022032127,[3.17650039 6.5061828  3.09628373],0.13695713885490113,0.3700772066135675
P1,1,RightUpperLeg,4.253297396204655,[0.79089475 0.15125462 4.17396284],0.007013713051013087,0.0837479137114059
P1,1,RightLowerLeg,4.852556676460835,[0.07442672 0.0928098  4.85038503],0.013666772615270634,0.1169049725857315
P1,1,RightFoot,4.507080274708422,[0.07972018 0.23884081 4.49858533],0.806844003949696,0.8982449576533653
P1,1,LeftUpperLeg,6.96656676399035,[0.87878606 1.05398431 6.83725798],0.11546876403770329,0.33980695113211457
P1,1,LeftLowerLeg,6.243207354386648,[0.81893298 0.30890709 6.17640174],0.17797878486355653,0.4218753190974278
P1,1,LeftFoot,4.001929403628693,[0.02228871 0.08705971 4.00009172],0.07474171797821354,0.2733893157718742
P1,2,Pelvis,2.7179791104832742,[0.98356569 0.34750129 2.38033866],0.162413563246224,0.40300566155604317
P1,2,T8,22.174019058344953,[10.98864782  7.66871508 15.51651881],422.3206604750301,20.550441855956045
P1,2,Head,3.8336722323777983,[1.68711364 0.4737193  3.37172533],0.3571221763292522,0.5975970016066448
P1,2,RightShoulder,13.202820488785179,[7.52976888 9.47771144 3.84761487],21.577884128238043,4.645200117135756
P1,2,RightUpperArm,11.026391550230567,[4.44108485 5.29919245 8.0756093 ],63.445986119694645,7.965298871962975
